synonym	compound name
TL 32711	
06-BG	06-Benzylguanine
06-BG (NABTT 0803)	06-Benzylguanine
06BG	06-Benzylguanine
06GB	06-Benzylguanine
17-AAG	Demethoxygeldanamycin
17AAG	Demethoxygeldanamycin
5 FU	Fluorouracil
5- FU	Fluorouracil
5-FLUOROURACIL	Fluorouracil
5-FU	Fluorouracil
5F4 LEUCOVORIN	Leucovorin
5FU	Fluorouracil
6 THIGUANINE	Tioguanine
6 THIOGUANINE	Tioguanine
6-MERCAPTOPURINE	Tioguanine
81C6	81C6
9 AMINOCAMPTOTHECIN	9-AMINOCAMPTOTHECIN
9 IMMUNOAMINO CAMPTNETECIN	9-AMINOCAMPTOTHECIN
90Y-HU3S193	90Y-HU3S193
9AC 9 AMINOCAMPLOTECIAN	
A202171 PROTOCOL	
A443654	A443654
A769662	A769662
A770041	A770041
ABAGOVOMAB OR PLACEBO	
ABAGOVOMAB VS PLACEBO	
ABAGOVOMAG VS PLACEBO	
ABRAXANE	Paclitaxel
ABT-888 PARP INHIBITOR	Veliparib
ABT263	Navitoclax
ABT888	Veliparib
ABTC 0603 HYDROXYCHLOROQUINE	Hydroxychloroquine
AC	Cyclophosphamide+Doxorubicin
ACCTUANE	Isotretinoin
ACCUTANE	Isotretinoin
ACT PEP3 KLH	
ADRIAMYCIN	Doxorubicin
ADRIMYCIN	Doxorubicin
AE 788	AE788
AE-37	AE37
AEW541	
AFATINIB	AFATINIB
AFINITOR	Everolimus
AFLIBERCEPT/ PLACEBO STUDY	
AICAR	AICAR
AKTINHIBITORVIII	
ALBUMIN-BOUND PACLITAXEL	Paclitaxel
ALIMTA	Pemetrexed
ALMITA	Pemetrexed
ALPHA INTERFERON	Alpha interferon
ALTIMA	
AMG 102	Rilotumumab
AMG 706	motesanib
AMG706	motesanib
AMGEN 706	motesanib
AMINOPTERIN	AMINOPTERIN
AMITOSTIN	Amifostine
AMITOSTINE	Amifostine
ANASTROZOLE	Anastrozole
ANASTROZOLE (ARIMIDEX)	Anastrozole
ANGIOCEPT	Angiocept
ANTI NECPLATENS	
