Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
22848	AAK1	AP2 associated kinase 1	NM_014911	NP_055726.3	ENSG00000115977	chr2:69556504 - 69723676	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	Protein Kinase
9625	AATK	apoptosis-associated tyrosine kinase	NM_001080395	NP_001073864.2	null	chr17:76706796 - 76754387	ATP binding;integral to membrane;membrane;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;protein-tyrosine kinase activity;transferase activity	Protein Kinase
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	NM_000927	NP_000918.2	ENSG00000085563	chr7:86971494 - 87067436	ATP binding;ATPase activity;cell surface;hydrolase activity;integral to membrane;membrane;membrane fraction;nucleotide binding;protein binding;response to drug;transport;transporter activity;xenobiotic-transporting ATPase activity	Stability,  Tumor Suppressor
4363	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	NM_004996, NM_019900, NM_019899, NM_019862, NM_019898	NP_004987.2, NP_063955.2, NP_063954.2, NP_063915.2, NP_063953.2	ENSG00000103222	chr16:15951109 - 16142639	ATP binding;ATPase activity;ATPase activity, coupled to transmembrane movement of substances;integral to membrane;integral to plasma membrane;kinase activity;membrane;membrane fraction;nucleotide binding;response to drug;transferase activity;transport;transporter activity	Stability
10257	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	NM_001105515, NM_005845	NP_001098985.1, NP_005836.2	ENSG00000125257	chr13:94471829 - 94751569	15-hydroxyprostaglandin dehydrogenase (NAD+) activity;ATP binding;ATPase activity;ATPase activity, coupled to transmembrane movement of substances;biological_process;cellular_component;chloride channel activity;integral to membrane;ion transport;membrane fraction;nucleotide binding;plasma membrane;platelet dense granule membrane	Entrez Query:Oncogene
9429	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	NM_004827	NP_004818.2	ENSG00000118777	chr4:89232409 - 89280171	ATP binding;ATPase activity;integral to membrane;membrane;nucleotide binding;response to drug;transport;transporter activity;xenobiotic-transporting ATPase activity	Stability
10006	ABI1	abl-interactor 1	NM_001012750, NM_005470, NM_001012752, NM_001012751	NP_001012768.1, NP_005461.2, NP_001012770.1, NP_001012769.1	ENSG00000136754	chr10:27077504 - 27189798	cytoskeletal protein binding;cytoskeleton;cytosol;endoplasmic reticulum;negative regulation of cell proliferation;nucleus;soluble fraction;transmembrane receptor protein tyrosine kinase signaling pathway	EGFR1,  Futreal et al 2004,  Mitelman 2000,  Stability,  Translocation
10152	ABI2	abl interactor 2	NM_005759	NP_005750.4	ENSG00000138443	chr2:203901482 - 204000320	actin polymerization and/or depolymerization;biological_process;cell migration;cytoplasm;cytoskeletal adaptor activity;cytoskeleton;cytoskeleton organization and biogenesis;DNA binding;filopodium;kinase binding;lamellipodium;molecular_function;nucleus;SH3 domain binding;SH3/SH2 adaptor activity	Stability,  Entrez Query:Oncogene
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	NM_005158, NM_001100108, NM_007314	NP_005149.3, NP_001093578.1, NP_009298.1	null	chr1:177343475 - 177378802	ATP binding;cell adhesion;cytoplasm;cytoskeleton;intracellular signaling cascade;magnesium ion binding;manganese ion binding;nucleotide binding;peptidyl-tyrosine phosphorylation;phosphoinositide 3-kinase complex;phosphoinositide 3-kinase regulator activity;protein binding;protein modification process;protein-tyrosine kinase activity;transferase activity	Futreal et al 2004,  Mitelman 2000,  Protein Kinase,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
80325	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	NM_172027, NM_032548, NM_172028	NP_742024.1, NP_115937.1, NP_742025.1	ENSG00000114626	chr3:128874558 - 128882008	protein binding;translation;translation elongation factor activity	Tumor Suppressor
31	ACACA	acetyl-Coenzyme A carboxylase alpha	NM_198834	NP_942131.1, NP_942135.1	ENSG00000132142	chr17:32518363 - 32840502	acetyl-CoA carboxylase activity;ATP binding;biotin binding;biotin carboxylase activity;fatty acid biosynthetic process;ligase activity;manganese ion binding;metabolic process;metal ion binding;nucleotide binding;protein binding	Stability,  Tumor Suppressor
35	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	NM_000017	NP_000008.1	ENSG00000122971	chr12:119648071 - 119661634	butyryl-CoA dehydrogenase activity;electron transport;FAD binding;fatty acid beta-oxidation;fatty acid metabolic process;lipid metabolic process;mitochondrion	Stability
52	ACP1	acid phosphatase 1, soluble	NM_007099, NM_004300, NM_001040649	NP_009030.1, NP_004291.1, NP_001035739.1	ENSG00000143727	chr2:254964 - 267304	acid phosphatase activity;cytoplasm;hydrolase activity;identical protein binding;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;soluble fraction	Phosphatase
55	ACPP	acid phosphatase, prostate	NM_001099	NP_001090.2	ENSG00000014257	chr3:133518990 - 133558412	acid phosphatase activity;extracellular region;hydrolase activity;protein tyrosine phosphatase activity;regulation of progression through cell cycle	Stability
23305	ACSL6	acyl-CoA synthetase long-chain family member 6	NM_001009185, NM_015256	NP_001009185.1, NP_056071.2	ENSG00000164398	chr5:131317825 - 131375145	acyl-CoA metabolic process;catalytic activity;integral to membrane;ligase activity;lipid metabolic process;long-chain-fatty-acid-CoA ligase activity;magnesium ion binding;metabolic process;microsome;mitochondrial outer membrane;peroxisomal membrane;peroxisome;plasma membrane	Futreal et al 2004,  Mitelman 2000,  Translocation
59	ACTA2	actin, alpha 2, smooth muscle, aorta	NM_001613	NP_001604.1	ENSG00000107796	chr10:90684959 - 90698667	ATP binding;cytoskeleton;nucleotide binding;protein binding;structural molecule activity	Tumor Suppressor
60	ACTB	actin, beta	NM_001101	NP_001092.1	ENSG00000075624	chr7:5533904 - 5535814	ATP binding;cell motility;cytoplasm;cytoskeleton;cytosol;NuA4 histone acetyltransferase complex;nucleotide binding;protein binding;sensory perception of sound;soluble fraction;structural constituent of cytoskeleton	Entrez Query:Oncogene
90	ACVR1	activin A receptor, type I	NM_001105	NP_001104537.1	ENSG00000115170	chr2:158302288 - 158364251	activin binding;activin receptor activity, type I;activin receptor complex;acute inflammatory response;apical part of cell;ATP binding;determination of left/right symmetry;follistatin binding;G1/S transition of mitotic cell cycle;gastrulation;germ cell development;heart development;in utero embryonic development;magnesium ion binding;manganese ion binding;membrane;mesoderm formation;negative regulation of activin receptor signaling pathway;negative regulation of apoptosis;neural crest cell migration;nucleot	Stability
91	ACVR1B	activin A receptor, type IB	NM_004302, NM_020328, NM_020327	NP_004293.1, NP_064733.2, NP_064732.2	ENSG00000135503	chr12:50631794 - 50674161	activin binding;activin receptor activity, type I;ATP binding;cell surface;embryonic development;G1/S transition of mitotic cell cycle;growth factor binding;hair follicle development;in utero embryonic development;induction of apoptosis;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;negative regulation of cell growth;nucleotide binding;positive regulation of activin receptor signaling pathway;positive regulation of erythrocyte differentiation;protein amino acid phosphorylat	Protein Kinase
130399	ACVR1C	activin A receptor, type IC	NM_001111032, NM_001111033, NM_001111031	NP_001104502.1, NP_001104503.1, NP_001104501.1	ENSG00000123612	chr2:158098675 - 158193402	activin receptor activity, type I;activin receptor complex;ATP binding;cell differentiation;integral to membrane;magnesium ion binding;manganese ion binding;membrane;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;receptor activity;regulation of apoptosis;transferase activity;transforming growth factor beta receptor activity	Protein Kinase
92	ACVR2A	activin A receptor, type IIA	NM_001616	NP_001607.1	ENSG00000121989	chr2:148319191 - 148401313	activin receptor activity;anterior/posterior pattern formation;ATP binding;cytoplasm;determination of left/right symmetry;embryonic skeletal development;gastrulation (sensu Vertebrata);growth factor binding;inhibin beta-A binding;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;mesoderm development;nucleotide binding;penile erection;positive regulation of activin receptor signaling pathway;positive regulation of erythrocyte differentiation;protein amino acid phosphorylation;p	Protein Kinase
93	ACVR2B	activin A receptor, type IIB	NM_001106	NP_001097.2	ENSG00000114739	chr3:38470817 - 38499827	activin receptor activity, type II;anterior/posterior pattern formation;ATP binding;cell surface;cytoplasm;growth factor binding;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;nucleotide binding;positive regulation of activin receptor signaling pathway;protein amino acid phosphorylation;protein kinase activity;receptor activity;receptor signaling protein serine/threonine kinase activity;regulation of transcription;signal transduction;transferase activity;transforming growth	Protein Kinase
94	ACVRL1	activin A receptor type II-like 1	NM_001077401	NP_001070869.1	ENSG00000139567	chr12:50592525 - 50600944	activin binding;activin receptor activity, type I;angiogenesis;ATP binding;blood pressure regulation;cell surface;integral to plasma membrane;magnesium ion binding;manganese ion binding;membrane;negative regulation of cell adhesion;negative regulation of cell migration;negative regulation of cell proliferation;negative regulation of focal adhesion formation;nucleotide binding;positive regulation of transcription;protein amino acid phosphorylation;receptor activity;signal transduction;SMAD binding;transferas	Protein Kinase
102	ADAM10	ADAM metallopeptidase domain 10	NM_001110	NP_001101.1	ENSG00000137845	chr15:56677037 - 56829025	cell surface;cell-cell signaling;constitutive protein ectodomain proteolysis;cytoplasm;Golgi apparatus;Golgi-associated vesicle;in utero embryonic development;integral to membrane;integrin binding;integrin-mediated signaling pathway;metal ion binding;metalloendopeptidase activity;negative regulation of cell adhesion;Notch receptor processing;nucleocytoplasmic transport;nucleus;plasma membrane;protein amino acid phosphorylation;protein homodimerization activity;protein kinase binding;SH2 domain binding;zinc 	NOTCH,  Protein Kinase
8038	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	NM_003474, NM_021641	NP_003465.3, NP_067673.2	ENSG00000148848	chr10:127695837 - 128066704	cell adhesion;integral to membrane;metal ion binding;metalloendopeptidase activity;myoblast fusion;plasma membrane;protein binding;proteolysis;zinc ion binding	Tumor Suppressor
6868	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	NM_003183	NP_003174.3	ENSG00000151694	chr2:9547756 - 9613185	cell-cell signaling;cytoplasm;integral to plasma membrane;membrane;metal ion binding;metalloendopeptidase activity;Notch signaling pathway;protein binding;proteolysis;zinc ion binding	NOTCH,  Protein Kinase
53616	ADAM22	ADAM metallopeptidase domain 22	NM_004194, NM_021722, NM_016351, NM_021721, NM_021723	NP_004185.1, NP_068368.2, NP_057435.2, NP_068367.1, NP_068369.1	ENSG00000008277	chr7:87401716 - 87663742	cell adhesion;central nervous system development;integral to membrane;integrin binding;membrane;metalloendopeptidase activity;negative regulation of cell adhesion;protein binding;proteolysis	Stability
8754	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	NM_003816, NM_001005845	NP_003807.1, NP_001005845.1	ENSG00000168615	chr8:38973739 - 39080376	cytoplasm;integral to plasma membrane;integrin binding;metal ion binding;metalloendopeptidase activity;plasma membrane;protein binding;protein kinase binding;protein kinase cascade;proteolysis;SH3 domain binding;zinc ion binding	Protein Kinase
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	NM_006988	NP_008919.3	ENSG00000154734	chr21:27131768 - 27139144	heparin binding;integrin binding;integrin-mediated signaling pathway;metal ion binding;metalloendopeptidase activity;negative regulation of cell proliferation;proteinaceous extracellular matrix;proteolysis;zinc ion binding	Stability
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	NM_139026, NM_139025, NM_139027	NP_620595.1, NP_620594.1, NP_620596.2	ENSG00000160323	chr9:135277384 - 135314123	calcium ion binding;cell surface;cell-matrix adhesion;glycoprotein metabolic process;integrin binding;integrin-mediated signaling pathway;metalloendopeptidase activity;peptidase activity;peptide catabolic process;platelet activation;protein binding;protein processing;proteinaceous extracellular matrix;proteolysis;zinc ion binding	Stability
170692	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	NM_199355	NP_955387.1	ENSG00000140873	chr16:75875353 - 76026093	metal ion binding;metalloendopeptidase activity;proteinaceous extracellular matrix;proteolysis;zinc ion binding	Tumor Suppressor
57143	ADCK1	aarF domain containing kinase 1	NM_020421	NP_065154.2	ENSG00000063761	chr14:77355074 - 77469487	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein kinase activity;transferase activity	Protein Kinase
90956	ADCK2	aarF domain containing kinase 2	NM_052853	NP_443085.2	ENSG00000133597	chr7:140019599 - 140041072	ATP binding;integral to membrane;kinase activity;membrane;nucleotide binding;transferase activity	Protein Kinase
79934	ADCK4	aarF domain containing kinase 4	NM_024876	NP_079152.3	ENSG00000123815	chr19:45889779 - 45912377	integral to membrane;kinase activity;membrane;transferase activity	Protein Kinase
203054	ADCK5	aarF domain containing kinase 5	NM_174922	NP_777582.3	ENSG00000173137	chr8:145568592 - 145589097	integral to membrane;kinase activity;membrane;transferase activity	Protein Kinase
107	ADCY1	adenylate cyclase 1 (brain)	NM_021116	NP_066939.1	ENSG00000164742	chr7:45580667 - 45720119	calcium- and calmodulin-responsive adenylate cyclase activity;calmodulin binding;cAMP biosynthetic process;integral to membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
108	ADCY2	adenylate cyclase 2 (brain)	NM_020546	NP_065433.2	ENSG00000078295	chr5:7449409 - 7879984	adenylate cyclase activity;cAMP biosynthetic process;integral to membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
109	ADCY3	adenylate cyclase 3	NM_004036	NP_004027.2	ENSG00000138031	chr2:24896304 - 24995360	adenylate cyclase activity;calmodulin binding;cAMP biosynthetic process;integral to plasma membrane;intracellular signaling cascade;magnesium ion binding;plasma membrane;response to stimulus;sensory perception of smell	Protein Kinase
196883	ADCY4	adenylate cyclase 4	NM_139247	NP_640340.2	ENSG00000129467	chr14:23857461 - 23873698	adenylate cyclase activity;cAMP biosynthetic process;cyclic nucleotide biosynthetic process;dendrite;G-protein signaling, coupled to cAMP nucleotide second messenger;integral to membrane;intracellular;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
111	ADCY5	adenylate cyclase 5	NM_183357	NP_899200.1	ENSG00000173175	chr3:124486144 - 124650082	adenosine receptor signaling pathway;adenylate cyclase activity;cAMP biosynthetic process;dopamine receptor, adenylate cyclase activating pathway;dopamine receptor, adenylate cyclase inhibiting pathway;integral to membrane;intracellular signaling cascade;locomotory behavior;magnesium ion binding;membrane;regulation of balance	Protein Kinase
112	ADCY6	adenylate cyclase 6	NM_015270, NM_020983	NP_056085.1, NP_066193.1	ENSG00000174233	chr12:47448640 - 47463484	adenylate cyclase activity;cAMP biosynthetic process;integral to membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
113	ADCY7	adenylate cyclase 7	NM_001114	NP_001105.1	ENSG00000121281	chr16:48879591 - 48906917	adenylate cyclase activation;adenylate cyclase activity;cAMP biosynthetic process;integral to plasma membrane;intracellular signaling cascade;magnesium ion binding;plasma membrane	Protein Kinase
114	ADCY8	adenylate cyclase 8 (brain)	NM_001115	NP_001106.1	ENSG00000155897	chr8:131861817 - 132121761	adenylate cyclase activity;calcium- and calmodulin-responsive adenylate cyclase activity;cAMP biosynthetic process;cyclic nucleotide biosynthetic process;integral to membrane;intracellular signaling cascade;learning and/or memory;magnesium ion binding;membrane fraction;plasma membrane	Protein Kinase
115	ADCY9	adenylate cyclase 9	NM_001116	NP_001107.2	ENSG00000162104	chr16:3955776 - 4105444	adenylate cyclase activity;cAMP biosynthetic process;integral to plasma membrane;intracellular signaling cascade;magnesium ion binding;membrane	Protein Kinase
116	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	NM_001117	NP_001108.2	ENSG00000141433	chr18:895387 - 899636	adenylate cyclase activation;cell-cell signaling;extracellular region;hormone activity;negative regulation of progression through cell cycle;neuropeptide hormone activity;pregnancy;soluble fraction	Protein Kinase
117	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	NM_001118	NP_001109.2	ENSG00000078549	chr7:31069405 - 31112823	cell differentiation;G-protein coupled receptor activity;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;multicellular organismal development;plasma membrane;receptor activity;spermatogenesis;vasoactive intestinal polypeptide receptor activity	Protein Kinase
